team,GitHubDA,Product,Utterance,GitHubpol
g1,sd fp qy ba aa qy sd sd,s,"Release for Nextcloud 17? #100.Hello,.can you publish a new release to the App Store for Nextcloud 17?.That's a good idea.Looking forward to that.Is someone working on this issue or is it in any release pipeline?.I will do it this week.Ran into some issues.. Will update again once it's up.Any forecats on this?.Don't want to make pressure just need to know for our planning of using it soon..Any chance we get a release within few days ?.Thanks in advance..What's the status here?.What's taking months, can we be of any assistance?.I'm also eager to use it with Nextcloud 17..And still dreaming of having an Upload Functionality within the Forms App (see #42)..Please let me know if I can support in any way..Any chance to release it before end of January?.the version was bumped on ee65a88#diff-224bb875c5d3cfcd7621135069013242R35.Theres releases out on the app store for Nextcloud 17 as well as for upcoming 18. .If you like the Forms app, consider leaving a review on the store page https://apps.nextcloud.com/apps/forms",0.0  0.0  0.13636363636363635  0.7  0.0  0.0  0.0  0.0  0.0  0.0  0.0  -0.2  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
g2,sd sd sd ad ad sd ad ad,s,"Improve CSV description #112.Someone brought up the fact that our CSV has a description that says ""Describe application deployment"". .We should improve that, and also look if there's anything else in the main page that should be enhanced..Addressed this in 0.4.0 release",0.0  0.0  0.0  0.0  -0.4  0.05  -0.1  0.0
g3,ad sd,u,"auto-complete or show suggestions when tab is pressed in hub.It would be cool to auto-complete or show suggestions. For example: hub clone github/ + 2 * tab would list all the public repos of Github. And hub clone github/hu + tab would complete github/hub.It would be cool. However that would mean that your keystrokes would be triggering API requests and that you would have to wait for them to finish, making those autocompletions relatively slow? Are you sure this would be a good experience?.Yes, that's true. I think we should add a proper command for discovery..For example hub discover github would print all the repos of Github and store their names in cache for proper auto-completion:.discovery command would be great..So is anyone currently working on the discover command? If not, I can take it on! I'd really love that feature. Thanks :).Not to my knowledge. .Please explore how such a command could work. Note that our API library is go-octokit right now and that it might need contributing to as well to facilitate the feature of searching for repos..i'd love to help. .Let me know when you start working on it. Thanks.That'd be really great!. I just spent some time learning Go and went ahead and added the basic functionality of listing all the repos of a given user (isundaylee@df93604). We should probably discuss a bit about how we want to present the information, as well as possibly caching the information somewhere so that we can later reuse them for completion..So what information would we want in such a view? I'd assume repo name, # of forks, and # of stars. Anything else we might want?.Also do we have a standard way of outputting tabular output in hub?.I foresee that this shell completion feature would have two parts of implementation:.The shell script that works with bash/zsh/other completion features to fetch and display options after the user presses.1. The underlying command (proposed by @haikyuu) that would handle fetching this data and presenting it in machine-readable format (such as tab-delimited fields)..hi, did anything come of this discussion? i'd be keen on seeing this implemented. did you ever submit a pull request for this? I do realize this was a year ago, btw!.Hi! No I never ended up submitting a pull request for this. This was mostly because that at some point I stopped using hub as much as I used to. Sorry for that ):.Sorry for that ):",0.0  -0.1
g4,ad sd,u,"All shadowed operators should have the same arities as their counterparts. #1104.Probably one of them got updated without the other:.We should check them all though..I noticed when I was reading hy.core.shadow this weekend that + demands an argument but * doesn't. That is, we provide the empty product but not the empty sum. I thought about it and realized that the problem with nullary + is that Python uses + for both addition and concatenation, so in a nullary context, we should return [], (), """", or 0, but we can't know which. It seems best to just disallow nullary +. So I think the shadowed version is right and the operator version is wrong..For /, there's again inconsistency between the operator (which returns 1.) and the shadowed version (which requires two arguments). It's not clear which is right, though. I'm leaning towards requiring the arguments, because although 1. is the only sane value for the ""empty quotient"", I can't think of a context where asking for an empty quotient wouldn't be a mistake..For -, the operator and shadowed version both require an argument, which seems fine, but not consistent with allowing nullary / if we decide to keep doing that..Here's what some other Lisps do for - and /:.In Clojure and Common Lisp, both - and / require an argument. Unary / is allowed, and returns the reciprocal..In Emacs Lisp, nullary - returns 0, but nullary / isn't allowed. Unary / returns its argument unchanged..I think we should follow Clojure and Common Lisp. (We already have unary / return the reciprocal.).You could make the same argument against *. It also works on strings, tuples, and lists:.In fact, any class can implement operators using dunder methods..I don't think that's a good reason to disallow nullary +. Look at what ClojureScript does:.I'm inclined to do things Clojure's way when Python doesn't object..The difference is that 1 is the identity element for both uses of * (multiplication and replication), whereas 0 isn't the identity element for concatenation..What do you think about the cases of - and /?.That's a fair point.  Maybe it could be a special case of 0 the same way false is. I'm not sure it's worth the trouble..But every Lisp I've asked says (+) is 0, including ClojureScript, which uses + for more than numbers. I think that's good enough. We could conceivably create an additive identity singleton that returns whatever it's added to and have (+) return that, similarly for (*). But then does it break when you use other operators that 0 understands?. Maybe it could be a special case of 0 the same way false is. I'm not sure it's worth the trouble..I don't know why nullary / is allowed in Hy. That doesn't really make sense. @kirbyfan64, was this a mistake when you added the unary reciprocal case I asked for? If so, we should probably remove the nullary case. If there's an argument for it I'd like to hear it, since it may also apply to -..Yeah, I think you've convinced me. Let's keep nullary + returning 0, and make the shadowed version consistent.",0.0  -0.1
g5,ad sd,u,"Bitwise ghost implementation - clear winner tie #100.This issue refers to the bitwise LMD Ghost implementation:.In the event a chain has two children of equal weight and the log lookup is successful, the implementation calls get_clear_winner()..This will choose a winner based on the ordering of the python dictionary (in contrast to the bitwise selection which breaks ties based on lowest hash of the block). See line:.Should this perhaps be > rather than >= as it seems that a clear winner is not obvious for equally weighted children..Cleared winner tie in get_clear_winner()Â #114",0.0  0.0
g6,sd sv sd sd sv qy qy^d sv sd sd qo,u,"Cadence #100.Guys, it would be great if you add cadence simulation, because it's really useful feature..Now i'm working on endomondo activity track uploading and i don't know how to transmit cadence info..I can get real device with cadence sensor, and intercept traffic but it's money and time..Your software could help me, but as i can see you're not supporting it..Maybe you have plans to add in future?.Do you mean cadence sensor from cycling speed and cadence or cadence?.Shouldn't be too hard to implement.I don't know what's it in specification, but that cadence isn't only about cycling but also about running..Step frequency is quite important for runners..Any sport app (endomondo, strava) should show cadence if you have some ant+ or another chest pulse sensor connected.",0.0  0.55  0.0  0.2  -0.125  0.0  -0.3125  -0.2916666666666667  0.0  0.4  0.0
g7,sd % % % sd h sd sd ng qo ba qo sd sd ft,s,"make check failure for macOs #36656.CommitÂ 0b6d307.macOS 11.1 aarch64.Xcode 12.3.personally I have not used macos butÂ make checkÂ works fine for windows10 os.I don't know if we have collaborators with an M1 Mac yet..I can reproduce on my machine (M1 CPU)..For info,Â node --profÂ always segfaults on Apple Silicon, it's probably a V8 bug. If you don't need this feature,Â nodeÂ works perfectly fine though..I'm not able to compileÂ gdbÂ though, so I can't really help debug this, sorry..Maybe you can tryÂ lldbÂ instead?.gave me the info I needed.I've submitted the fix toÂ https://chromium-review.googlesource.com/c/v8/v8/+/2609413.Â @nodejs/v8Â is there something else I should do to ensure the fix makes it to the next Node.js releases?.If you want someone to review your CL, you need to mark it as ready for review (it's currently WIP) and ideally add some reviewers..Edit: it's a bit counter-intuitive, but that's what the ""Start review"" button allows you to do..Thanks for the info! I've now submitted the CL for reviews.",-0.3166666666666667  0.0  0.0  0.0  0.20833333333333334  0.0  0.0  0.4166666666666667  -0.18333333333333335  0.0  0.0  0.0  0.3666666666666667  0.0  0.25
g8,sd sd sd sd sv,u,bitwise ghost implementation #100.This issue refers to the bitwise LMD Ghost implementation.In the event a chain has two children of equal weight and the log lookup is successful the implementation calls get clear winner.This will choose a winner based on the ordering of the python dictionary (in contrast to the bitwise selection which breaks ties based on lowest hash of the block). See line:.Should this perhaps be rather than as it seems that a clear winner is not obvious for equally weighted children..Cleared winner tie in get clear winner,0.0  0.0  0.2833333333333333  0.0  0.03333333333333334  0.10000000000000002
g9,sd sv sv sv,u,"annot be used with .text-md #1006.Hi, I got an error when I try @apply .text-md..How can I fix it?.Did you add text-md? That's not a valid option. See https://tailwindcss.com/docs/font-size/#app.Yeah there is no text-md class by default..abc and xyz thank you for your response. I am new in tailwindcss. I didn't know tailwindcss very well or don't know it now very well. Anyway I ?had see a code that used that utility. but he defined it herself.",0.0  0.0  0.0  0.3
g10,sd sd aa qw fa sd ad sd ny sd qo fa ny,s,"Add tcp mapping to the overview.html page.So far this looks pretty reasonable!.were you going to drop the GROUP prefix first, or... ?.Yes, sorry, I didn't send a change for this yet..I'll do it on monday..Add tcp mapping to the overview.html page.force-pushed the jfrabaute:tcp branch from 92093da to 066e48b 3 days ago.Yes, done now..Add tcp mapping to the overview.html page #2380.So far this looks pretty reasonable! Were you going to drop the GROUP prefix first, or... ?.Yes, sorry, I didn't send a change for this yet. I'll do it on monday..Yes, done now.",0.0  0.19999999999999998  0.25  -0.5  0.0  0.0  0.0  0.0  0.0  0.2125  -0.5  0.0
